Owner, Repository, Stars
"microsoft", "PowerToys", 57582
"shadowsocks", "shadowsocks-windows", 52624
"PowerShell", "PowerShell", 27894
"dotnet", "aspnetcore", 25192
"CodeHubApp", "CodeHub", 23329
"2dust", "v2rayN", 21587
"Wox-launcher", "Wox", 20493
"dnSpy", "dnSpy", 18634
"dotnet-architecture", "eShopOnContainers", 18232
"ShareX", "ShareX", 16690
"mxgmn", "WaveFunctionCollapse", 16662
"NickeManarin", "ScreenToGif", 14981
"thangchung", "awesome-dotnet-core", 14884
"dotnet", "roslyn", 14697
"DapperLib", "Dapper", 13946
"icsharpcode", "ILSpy", 13104
"AvaloniaUI", "Avalonia", 11675
"files-community", "Files", 11561
"Unity-Technologies", "ml-agents", 11411
"jellyfin", "jellyfin", 11319
"MaterialDesignInXAML", "MaterialDesignInXamlToolkit", 11050
"dotnet", "maui", 10751
"huiyadanli", "RevokeMsgPatcher", 10640
"dotnet", "efcore", 10415
"aspnetboilerplate", "aspnetboilerplate", 9716
"dotnet", "AspNetCore.Docs", 9508
"OpenRA", "OpenRA", 9490
"App-vNext", "Polly", 9444
"lionsoul2014", "ip2region", 9435
"mono", "mono", 9399
"Ryujinx", "Ryujinx", 9324
"QL-Win", "QuickLook", 9277
"netchx", "netch", 9164
"JamesNK", "Newtonsoft.Json", 8693
"SignalR", "SignalR", 8397
"AutoMapper", "AutoMapper", 8157
"IdentityServer", "IdentityServer4", 8120
"cefsharp", "CefSharp", 8113
"bitwarden", "server", 8037
"Unity-Technologies", "UnityCsReference", 8020
"felixse", "FluentTerminal", 7977
"restsharp", "RestSharp", 7950
"MahApps", "MahApps.Metro", 7810
"dotnet", "orleans", 7708
"MonoGame", "MonoGame", 7634
"chocolatey", "choco", 7589
"dotnet", "machinelearning", 7585
"ppy", "osu", 7541
"dotnet", "csharplang", 7287
"ardalis", "CleanArchitecture", 7277
"NancyFx", "Nancy", 7140
"JeffreySu", "WeiXinMPSDK", 6897
"HangfireIO", "Hangfire", 6836
"JustArchiNET", "ArchiSteamFarm", 6810
"dotnet", "BenchmarkDotNet", 6708
"jbogard", "MediatR", 6701
"microsoft", "ailab", 6651
"dotnet", "runtime", 6614
"Sonarr", "Sonarr", 6505
"FluentValidation", "FluentValidation", 6465
"abpframework", "abp", 6452
"nopSolutions", "nopCommerce", 6439
"reactiveui", "ReactiveUI", 6407
"ThreeMammals", "Ocelot", 6374
"duplicati", "duplicati", 6327
"Perfare", "AssetStudio", 6304
"dotnet-architecture", "eShopOnWeb", 6299
"MathewSachin", "Captura", 6245
"xupefei", "Locale-Emulator", 6194
"dvf", "blockchain", 6145
"Jackett", "Jackett", 6132
"Humanizr", "Humanizer", 6093
"jasontaylordev", "CleanArchitecture", 6037
"winsw", "winsw", 5939
"carlospolop", "PEASS-ng", 5912
"mbdavid", "LiteDB", 5880
"ElectronNET", "Electron.NET", 5836
"dodyg", "practical-aspnetcore", 5754
"gitextensions", "gitextensions", 5749
"aspnet", "Mvc", 5732
"kgrzybek", "modular-monolith-with-ddd", 5579
"mRemoteNG", "mRemoteNG", 5519
"TGSAN", "CMWTAT_Digital_Edition", 5515
"migueldeicaza", "gui.cs", 5494
"lambci", "docker-lambda", 5490
"microsoft", "VFSForGit", 5485
"xamarin", "Xamarin.Forms", 5366
"Radarr", "Radarr", 5314
"nilaoda", "N_m3u8DL-CLI", 5290
"QuantConnect", "Lean", 5263
"de4dot", "de4dot", 5252
"neuecc", "UniRx", 5236
"dotnet", "wpf", 5234
"OrchardCMS", "OrchardCore", 5231
"reactiveui", "refit", 5188
"sschmid", "Entitas-CSharp", 5166
"NLog", "NLog", 5128
"unoplatform", "uno", 5045
"dotnet", "reactive", 5033
"dotnetcore", "CAP", 4949
"Live-Charts", "Live-Charts", 4931
"ServiceStack", "ServiceStack", 4927
"SixLabors", "ImageSharp", 4891
"EduardoPires", "EquinoxProject", 4888
"graphql-dotnet", "graphql-dotnet", 4858
"JasonStein", "Notepads", 4845
"StackExchange", "StackExchange.Redis", 4843
"HMBSbige", "ShadowsocksR-Windows", 4824
"serilog", "serilog", 4696
"bchavez", "Bogus", 4680
"egametang", "ET", 4639
"PrismLibrary", "Prism", 4636
"microsoft", "FASTER", 4618
"microsoft", "MixedRealityToolkit-Unity", 4609
"hbons", "SparkleShare", 4596
"quartznet", "quartznet", 4591
"rocksdanister", "lively", 4564
"dotnet", "msbuild", 4548
"quasar", "Quasar", 4546
"jasontaylordev", "NorthwindTraders", 4499
"RicoSuter", "NSwag", 4480
"shadowsocksr-backup", "shadowsocksr-csharp", 4469
"aalhour", "C-Sharp-Algorithms", 4437
"HearthSim", "Hearthstone-Deck-Tracker", 4411
"CommunityToolkit", "WindowsCommunityToolkit", 4347
"Redth", "PushSharp", 4321
"File-New-Project", "EarTrumpet", 4267
"StockSharp", "StockSharp", 4254
"EventStore", "EventStore", 4247
"sta", "websocket-sharp", 4244
"jstedfast", "MailKit", 4198
"moq", "moq4", 4186
"win-acme", "win-acme", 4170
"studyzy", "imewlconverter", 4159
"pojala", "electrino", 4138
"itinance", "react-native-fs", 4121
"accord-net", "framework", 4110
"opserver", "Opserver", 4092
"Unity-Technologies", "EntityComponentSystemSamples", 4075
"randyrants", "sharpkeys", 4053
"Unity-Technologies", "FPSSample", 4043
"thangchung", "clean-code-dotnet", 4034
"microsoft", "microsoft-ui-xaml", 4028
"domaindrivendev", "Swashbuckle.AspNetCore", 3993
"Jimmey-Jiang", "Common.Utility", 3987
"dotnet-state-machine", "stateless", 3920
"akkadotnet", "akka.net", 3911
"openhardwaremonitor", "openhardwaremonitor", 3884
"lucasg", "Dependencies", 3861
"UnityTechnologies", "open-project-1", 3860
"xamarin", "xamarin-forms-samples", 3857
"OptiKey", "OptiKey", 3850
"microsoft", "ApplicationInspector", 3825
"AngleSharp", "AngleSharp", 3820
"nissl-lab", "npoi", 3817
"brandonlw", "Psychson", 3790
"dotnetcore", "Util", 3772
"louthy", "language-ext", 3745
"MassTransit", "MassTransit", 3726
"dotnet", "tye", 3651
"microsoft", "reverse-proxy", 3596
"microsoft", "VisualStudioUninstaller", 3594
"autofac", "Autofac", 3561
"MvvmCross", "MvvmCross", 3554
"donet5", "SqlSugar", 3546
"ant-design-blazor", "ant-design-blazor", 3509
"protobuf-net", "protobuf-net", 3493
"Unity-Technologies", "PostProcessing", 3477
"udacity", "self-driving-car-sim", 3468
"JanKallman", "EPPlus", 3467
"neuecc", "MessagePack-CSharp", 3458
"naudio", "NAudio", 3439
"davidfowl", "AspNetCoreDiagnosticScenarios", 3413
"Topshelf", "Topshelf", 3403
"umbraco", "Umbraco-CMS", 3379
"spectreconsole", "spectre.console", 3372
"ExtendRealityLtd", "VRTK", 3367
"Fody", "Fody", 3360
"simplcommerce", "SimplCommerce", 3348
"JoshClose", "CsvHelper", 3323
"Azure", "DotNetty", 3301
"neo-project", "neo", 3294
"shimat", "opencvsharp", 3293
"danielgerlag", "workflow-core", 3279
"JosefNemec", "Playnite", 3255
"stride3d", "stride", 3254
"Codeusa", "Borderless-Gaming", 3248
"anjoy8", "Blog.Core", 3247
"SteamTools-Team", "SteamTools", 3196
"stnkl", "EverythingToolbar", 3162
"VsVim", "VsVim", 3161
"dotnetcore", "WTM", 3137
"mob-sakai", "UIEffect", 3136
"intel", "acat", 3136
"dotnet", "winforms", 3133
"aspnet", "JavaScriptServices", 3117
"elastic", "elasticsearch-net", 3107
"marian42", "wavefunctioncollapse", 3101
"SubtitleEdit", "subtitleedit", 3093
"dotnetcore", "DotnetSpider", 3088
"dotnet", "standard", 3061
"fanliang11", "surging", 3058
"TheBerkin", "rant3", 3051
"praeclarum", "sqlite-net", 3020
"migueldeicaza", "TensorFlowSharp", 2997
