Owner,Repository,Stars,CodeFenceKind
microsoft,PowerToys,57582,powershell
shadowsocks,shadowsocks-windows,52624,bash
shadowsocks,shadowsocks-windows,52624,
PowerShell,PowerShell,27894,sh
dnSpy,dnSpy,18634,PS
dotnet-architecture,eShopOnContainers,18232,powershell
dotnet-architecture,eShopOnContainers,18232,
mxgmn,WaveFunctionCollapse,16662,
DapperLib,Dapper,13946,csharp
DapperLib,Dapper,13946,bash
DapperLib,Dapper,13946,ini
AvaloniaUI,Avalonia,11675,
jellyfin,jellyfin,11319,bash
dotnet,efcore,10415,sh
dotnet,efcore,10415,cs
App-vNext,Polly,9444,csharp
App-vNext,Polly,9444,
lionsoul2014,ip2region,9435,
lionsoul2014,ip2region,9435,shell
lionsoul2014,ip2region,9435,xml
SignalR,SignalR,8397,
AutoMapper,AutoMapper,8157,csharp
AutoMapper,AutoMapper,8157,
bitwarden,server,8037,
felixse,FluentTerminal,7977,
dotnet,orleans,7708,C#
dotnet,orleans,7708,xml
chocolatey,choco,7589,sh
dotnet,machinelearning,7585,
dotnet,machinelearning,7585,C#
ppy,osu,7541,shell
ardalis,CleanArchitecture,7277,powershell
ardalis,CleanArchitecture,7277,
NancyFx,Nancy,7140,csharp
JeffreySu,WeiXinMPSDK,6897,C#
JeffreySu,WeiXinMPSDK,6897,
HangfireIO,Hangfire,6836,
HangfireIO,Hangfire,6836,csharp
dotnet,BenchmarkDotNet,6708,cs
dotnet,BenchmarkDotNet,6708,md
FluentValidation,FluentValidation,6465,
FluentValidation,FluentValidation,6465,csharp
abpframework,abp,6452,bash
dotnet-architecture,eShopOnWeb,6299,csharp
dotnet-architecture,eShopOnWeb,6299,
MathewSachin,Captura,6245,powershell
dvf,blockchain,6145,
Jackett,Jackett,6132,
Jackett,Jackett,6132,bash
Humanizr,Humanizer,6093,C#
Humanizr,Humanizer,6093,c#
jasontaylordev,CleanArchitecture,6037,json
winsw,winsw,5939,xml
mbdavid,LiteDB,5880,C#
ElectronNET,Electron.NET,5836,
ElectronNET,Electron.NET,5836,csharp
kgrzybek,modular-monolith-with-ddd,5579,csharp
kgrzybek,modular-monolith-with-ddd,5579,shell
kgrzybek,modular-monolith-with-ddd,5579,xml
kgrzybek,modular-monolith-with-ddd,5579,json
kgrzybek,modular-monolith-with-ddd,5579,http
TGSAN,CMWTAT_Digital_Edition,5515,
migueldeicaza,gui.cs,5494,csharp
migueldeicaza,gui.cs,5494,
lambci,docker-lambda,5490,sh
lambci,docker-lambda,5490,
lambci,docker-lambda,5490,dockerfile
lambci,docker-lambda,5490,js
xamarin,Xamarin.Forms,5366,xml
xamarin,Xamarin.Forms,5366,
xamarin,Xamarin.Forms,5366,sh
nilaoda,N_m3u8DL-CLI,5290,
QuantConnect,Lean,5263,
neuecc,UniRx,5236,csharp
neuecc,UniRx,5236,
reactiveui,refit,5188,csharp
sschmid,Entitas-CSharp,5166,csharp
dotnetcore,CAP,4949,
dotnetcore,CAP,4949,cs
dotnetcore,CAP,4949,c#
dotnetcore,CAP,4949,C#
ServiceStack,ServiceStack,4927,csharp
ServiceStack,ServiceStack,4927,ts
ServiceStack,ServiceStack,4927,swift
ServiceStack,ServiceStack,4927,java
ServiceStack,ServiceStack,4927,kotlin
ServiceStack,ServiceStack,4927,dart
ServiceStack,ServiceStack,4927,js
SixLabors,ImageSharp,4891,bash
graphql-dotnet,graphql-dotnet,4858,
graphql-dotnet,graphql-dotnet,4858,csharp
JasonStein,Notepads,4845,cmd
serilog,serilog,4696,csharp
serilog,serilog,4696,json
serilog,serilog,4696,
bchavez,Bogus,4680,powershell
bchavez,Bogus,4680,csharp
bchavez,Bogus,4680,
bchavez,Bogus,4680,fsharp
bchavez,Bogus,4680,vb
egametang,ET,4639,bash
egametang,ET,4639,c#
hbons,SparkleShare,4596,bash
jasontaylordev,NorthwindTraders,4499,
RicoSuter,NSwag,4480,csharp
RicoSuter,NSwag,4480,cs
