Host,Owner,Repository,Stars
github.com,shadowsocks,shadowsocks-windows,52624
github.com,dotnet-architecture,eShopOnContainers,18232
github.com,icsharpcode,ILSpy,13104
github.com,OpenRA,OpenRA,9490
github.com,AutoMapper,AutoMapper,8157
github.com,felixse,FluentTerminal,7977
github.com,ardalis,CleanArchitecture,7277
github.com,jbogard,MediatR,6701
github.com,FluentValidation,FluentValidation,6465
github.com,reactiveui,ReactiveUI,6407
github.com,dotnet-architecture,eShopOnWeb,6299
github.com,carlospolop,PEASS-ng,5912
github.com,ElectronNET,Electron.NET,5836
github.com,kgrzybek,modular-monolith-with-ddd,5579
github.com,migueldeicaza,gui.cs,5494
github.com,QuantConnect,Lean,5263
github.com,de4dot,de4dot,5252
github.com,OrchardCMS,OrchardCore,5231
github.com,EduardoPires,EquinoxProject,4888
github.com,graphql-dotnet,graphql-dotnet,4858
github.com,HMBSbige,ShadowsocksR-Windows,4824
github.com,egametang,ET,4639
github.com,HearthSim,Hearthstone-Deck-Tracker,4411
github.com,EventStore,EventStore,4247
github.com,jstedfast,MailKit,4198
github.com,dotnet-state-machine,stateless,3920
github.com,microsoft,ApplicationInspector,3825
github.com,AngleSharp,AngleSharp,3820
github.com,louthy,language-ext,3745
github.com,MassTransit,MassTransit,3726
github.com,shimat,opencvsharp,3293
github.com,anjoy8,Blog.Core,3247
github.com,stnkl,EverythingToolbar,3162
github.com,elastic,elasticsearch-net,3107
github.com,dotnetcore,DotnetSpider,3088
github.com,cake-build,cake,2988
github.com,kerryjiang,SuperSocket,2962
github.com,MediaBrowser,Emby,2882
github.com,picoe,Eto,2849
github.com,bitwarden,mobile,2783
github.com,lostindark,DriverStoreExplorer,2777
github.com,Dotnet-Boxed,Templates,2721
github.com,icsharpcode,SharpZipLib,2711
github.com,Tyrrrz,DiscordChatExporter,2649
github.com,chromelyapps,Chromely,2636
github.com,ClosedXML,ClosedXML,2578
github.com,Ombi-app,Ombi,2565
github.com,xoofx,markdig,2536
github.com,cobbr,Covenant,2498
github.com,Armin2208,Windows-Auto-Night-Mode,2419
github.com,dbrizov,NaughtyAttributes,2384
github.com,MiniProfiler,dotnet,2367
github.com,Cysharp,MagicOnion,2337
github.com,sebastienros,jint,2293
github.com,ServiceStack,ServiceStack.Redis,2185
github.com,EasyNetQ,EasyNetQ,2165
github.com,rafaelfgx,Architecture,2121
github.com,mono,CppSharp,2120
github.com,reactiveui,Akavache,2120
github.com,Cysharp,UniTask,2118
github.com,p-org,P,2114
github.com,reactjs,React.NET,2111
github.com,github,VisualStudio,2098
github.com,octokit,octokit.net,2097
github.com,microsoft,AttackSurfaceAnalyzer,2075
github.com,cq-panda,Vue.NetCore,2063
github.com,exceptionless,Exceptionless,2055
github.com,dotnetcore,osharp,2024
github.com,GitTools,GitVersion,2013
github.com,openiddict,openiddict-core,1991
github.com,NetDimension,NanUI,1980
github.com,GavinYellow,SharpSCADA,1947
github.com,benaadams,Ben.Demystifier,1933
github.com,dlemstra,Magick.NET,1904
github.com,peachpiecompiler,peachpie,1863
github.com,actions,runner,1851
github.com,SteamRE,SteamKit,1851
github.com,pnp,PnP,1843
github.com,Tyrrrz,YoutubeDownloader,1806
github.com,pwntester,ysoserial.net,1803
github.com,hirschmann,nbfc,1796
github.com,robinrodricks,FluentFTP,1790
github.com,Facepunch,Facepunch.Steamworks,1772
github.com,lukencode,FluentEmail,1722
github.com,natemcmaster,CommandLineUtils,1689
github.com,dotnet,samples,1675
github.com,Tyrrrz,YoutubeExplode,1668
github.com,builtbybel,privatezilla,1656
github.com,odedshimon,BruteShark,1628
github.com,jwt-dotnet,jwt,1621
github.com,UnigramDev,Unigram,1595
github.com,microcharts-dotnet,Microcharts,1587
github.com,MetacoSA,NBitcoin,1586
github.com,shouldly,shouldly,1581
github.com,kgrzybek,sample-dotnet-core-cqrs-api,1567
github.com,scriban,scriban,1528
github.com,nxrighthere,UnrealCLR,1516
github.com,praeclarum,Ooui,1513
github.com,Squidex,squidex,1509
github.com,adamhathcock,sharpcompress,1505
github.com,rabbitmq,rabbitmq-dotnet-client,1490
github.com,cairoshell,cairoshell,1457
github.com,bombomby,optick,1445
github.com,gothinkster,aspnetcore-realworld-example-app,1422
github.com,FoundatioFx,Foundatio,1419
github.com,dafny-lang,dafny,1382
github.com,lucent-sea,Remotely,1371
github.com,aspnet-contrib,AspNet.Security.OAuth.Providers,1329
github.com,Belphemur,SoundSwitch,1323
github.com,Nethereum,Nethereum,1297
github.com,0xd4d,dnlib,1296
github.com,open-telemetry,opentelemetry-dotnet,1289
github.com,icedland,iced,1286
github.com,jstedfast,MimeKit,1281
github.com,Tyrrrz,LightBulb,1258
github.com,asadsahi,AspNetCoreSpa,1256
github.com,icsharpcode,AvalonEdit,1211
github.com,1y0n,AV_Evasion_Tool,1207
github.com,ardalis,ApiEndpoints,1204
github.com,Sergio0694,ComputeSharp,1182
github.com,Tyrrrz,CliWrap,1178
github.com,phw198,OutlookGoogleCalendarSync,1174
github.com,reactivemarbles,DynamicData,1153
github.com,chocolatey,ChocolateyGUI,1108
github.com,DynamoDS,Dynamo,1094
github.com,microsoft,coyote,1078
github.com,oskardudycz,EventSourcing.NetCore,1078
github.com,unosquare,embedio,1076
github.com,davideicardi,DynamicExpresso,1072
github.com,cloudscribe,cloudscribe,1059
github.com,qmk,qmk_toolbox,1056
github.com,VeriorPies,ParrelSync,1045
github.com,microsoft,RulesEngine,1037
github.com,servicetitan,Stl.Fusion,1033
github.com,Mpdreamz,shellprogressbar,1028
github.com,natemcmaster,LettuceEncrypt,1024
github.com,tomakita,Colorful.Console,1011
dev.azure.com,microsoft,PowerToys,57582
dev.azure.com,dotnet,roslyn,14697
dev.azure.com,AvaloniaUI,Avalonia,11675
dev.azure.com,files-community,Files,11561
dev.azure.com,MaterialDesignInXAML,MaterialDesignInXamlToolkit,11050
dev.azure.com,dotnet,maui,10751
dev.azure.com,mono,mono,9399
dev.azure.com,JamesNK,Newtonsoft.Json,8693
dev.azure.com,dotnet,machinelearning,7585
dev.azure.com,dotnet,BenchmarkDotNet,6708
dev.azure.com,Jackett,Jackett,6132
dev.azure.com,Humanizr,Humanizer,6093
dev.azure.com,microsoft,VFSForGit,5485
dev.azure.com,Radarr,Radarr,5314
dev.azure.com,reactiveui,refit,5188
dev.azure.com,dotnet,reactive,5033
dev.azure.com,PrismLibrary,Prism,4636
dev.azure.com,microsoft,MixedRealityToolkit-Unity,4609
dev.azure.com,dotnet,msbuild,4548
dev.azure.com,CommunityToolkit,WindowsCommunityToolkit,4347
dev.azure.com,microsoft,microsoft-ui-xaml,4028
dev.azure.com,akkadotnet,akka.net,3911
dev.azure.com,OptiKey,OptiKey,3850
dev.azure.com,MvvmCross,MvvmCross,3554
dev.azure.com,neuecc,MessagePack-CSharp,3458
dev.azure.com,naudio,NAudio,3439
dev.azure.com,anjoy8,Blog.Core,3247
dev.azure.com,VsVim,VsVim,3161
dev.azure.com,dotnetcore,WTM,3137
dev.azure.com,dotnetcore,DotnetSpider,3088
dev.azure.com,dotnet,standard,3061
dev.azure.com,cake-build,cake,2988
dev.azure.com,ivanpaulovich,clean-architecture-manga,2927
dev.azure.com,skoruba,IdentityServer4.Admin,2817
dev.azure.com,Dotnet-Boxed,Templates,2721
dev.azure.com,microsoft,perfview,2703
dev.azure.com,Ombi-app,Ombi,2565
dev.azure.com,libgit2,libgit2sharp,2381
dev.azure.com,mono,SkiaSharp,2261
dev.azure.com,dotnet,command-line-api,2173
dev.azure.com,dotnet,try,2166
dev.azure.com,coverlet-coverage,coverlet,2136
dev.azure.com,discord-net,Discord.Net,2040
dev.azure.com,Lidarr,Lidarr,2022
dev.azure.com,GitTools,GitVersion,2013
dev.azure.com,PomeloFoundation,Pomelo.EntityFrameworkCore.MySql,1998
dev.azure.com,NuGetPackageExplorer,NuGetPackageExplorer,1873
dev.azure.com,SpecFlowOSS,SpecFlow,1756
dev.azure.com,xamarin,xamarin-android,1601
dev.azure.com,Azure,azure-functions-host,1584
dev.azure.com,JasperFx,marten,1542
dev.azure.com,dotnet,wcf,1492
dev.azure.com,dotnet,pinvoke,1425
dev.azure.com,dotnet,iot,1404
dev.azure.com,xamarin,Essentials,1403
dev.azure.com,NLua,NLua,1397
dev.azure.com,lucent-sea,Remotely,1371
dev.azure.com,dotnetcore,Magicodes.IE,1341
dev.azure.com,xamarin,XamarinCommunityToolkit,1337
dev.azure.com,Nethereum,Nethereum,1297
dev.azure.com,zkSNACKs,WalletWasabi,1289
dev.azure.com,dotnet,interactive,1242
dev.azure.com,PowerShell,PSScriptAnalyzer,1222
dev.azure.com,vkhorikov,CSharpFunctionalExtensions,1198
dev.azure.com,VitalElement,AvalonStudio,1187
dev.azure.com,dotnet,sdk,1176
dev.azure.com,OmniSharp,omnisharp-roslyn,1135
dev.azure.com,dotnet,roslyn-analyzers,1094
dev.azure.com,dotnet,format,1067
dev.azure.com,prometheus-net,prometheus-net,1066
dev.azure.com,microsoft,Xaml-Controls-Gallery,1049
dev.azure.com,dotnet,templating,1044
dev.azure.com,Readarr,Readarr,1024
travis-ci.org,chocolatey,choco,7589
travis-ci.org,NancyFx,Nancy,7140
travis-ci.org,HangfireIO,Hangfire,6836
travis-ci.org,duplicati,duplicati,6327
travis-ci.org,dvf,blockchain,6145
travis-ci.org,mbdavid,LiteDB,5880
travis-ci.org,ElectronNET,Electron.NET,5836
travis-ci.org,hbons,SparkleShare,4596
travis-ci.org,studyzy,imewlconverter,4159
travis-ci.org,accord-net,framework,4110
travis-ci.org,simplcommerce,SimplCommerce,3348
travis-ci.org,migueldeicaza,TensorFlowSharp,2997
travis-ci.org,cake-build,cake,2988
travis-ci.org,dotnet,docfx,2725
travis-ci.org,libgit2,libgit2sharp,2381
travis-ci.org,OneGet,oneget,2287
travis-ci.org,bridgedotnet,Bridge,2248
travis-ci.org,opentk,opentk,2137
travis-ci.org,ddevault,TrueCraft,2136
travis-ci.org,liangxiegame,QFramework,2123
travis-ci.org,confluentinc,confluent-kafka-dotnet,1997
travis-ci.org,Antaris,RazorEngine,1983
travis-ci.org,tModLoader,tModLoader,1809
travis-ci.org,vietnam-devs,coolstore-microservices,1808
travis-ci.org,aws,aws-sdk-net,1662
travis-ci.org,JabbR,JabbR,1508
travis-ci.org,aaubry,YamlDotNet,1502
travis-ci.org,bombomby,optick,1445
travis-ci.org,asc-lab,dotnetcore-microservices-poc,1414
travis-ci.org,ivaylokenov,MyTested.AspNetCore.Mvc,1411
travis-ci.org,NLua,NLua,1397
travis-ci.org,PiranhaCMS,piranha.core,1352
travis-ci.org,Tencent,InjectFix,1328
travis-ci.org,amaneureka,AtomOS,1241
travis-ci.org,dotnetcore,EasyCaching,1152
travis-ci.org,loklak,loklak_dotnet_api,1113
travis-ci.org,toddams,RazorLight,1112
travis-ci.org,cloudscribe,cloudscribe,1059
travis-ci.org,KhronosGroup,UnityGLTF,1019
travis-ci.org,ricardojmendez,UnitySteer,1006
i.imgur.com,Wox-launcher,Wox,20493
i.imgur.com,xupefei,Locale-Emulator,6194
i.imgur.com,HearthSim,Hearthstone-Deck-Tracker,4411
i.imgur.com,marian42,wavefunctioncollapse,3101
i.imgur.com,MediaBrowser,Emby,2882
i.imgur.com,Ombi-app,Ombi,2565
i.imgur.com,keijiro,Skinner,2474
i.imgur.com,IgnaceMaes,MaterialSkin,2303
i.imgur.com,sqlkata,querybuilder,1964
i.imgur.com,Codeusa,SteamCleaner,1679
i.imgur.com,mellinoe,veldrid,1644
i.imgur.com,antonpup,Aurora,1598
i.imgur.com,kwsch,PKHeX,1593
i.imgur.com,keijiro,Klak,1399
i.imgur.com,BeardedManStudios,ForgeNetworkingRemastered,1387
i.imgur.com,Unity-Technologies,VolumetricLighting,1348
