HtmlElement,GitHubProject,NuGetPreview,Stars
img,"[microsoft/PowerToys](https://www.github.com/microsoft/PowerToys#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.PowerToys?preview=1#show-readme-container)",57582
img,"[dotnet-architecture/eShopOnContainers](https://www.github.com/dotnet-architecture/eShopOnContainers#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet-architecture.eShopOnContainers?preview=1#show-readme-container)",18232
img,"[mxgmn/WaveFunctionCollapse](https://www.github.com/mxgmn/WaveFunctionCollapse#readme)","[Preview](https://dev.nugettest.org/packages/loic.mxgmn.WaveFunctionCollapse?preview=1#show-readme-container)",16662
img,"[NickeManarin/ScreenToGif](https://www.github.com/NickeManarin/ScreenToGif#readme)","[Preview](https://dev.nugettest.org/packages/loic.NickeManarin.ScreenToGif?preview=1#show-readme-container)",14981
img,"[dotnet/roslyn](https://www.github.com/dotnet/roslyn#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.roslyn?preview=1#show-readme-container)",14697
img,"[AvaloniaUI/Avalonia](https://www.github.com/AvaloniaUI/Avalonia#readme)","[Preview](https://dev.nugettest.org/packages/loic.AvaloniaUI.Avalonia?preview=1#show-readme-container)",11675
img,"[files-community/Files](https://www.github.com/files-community/Files#readme)","[Preview](https://dev.nugettest.org/packages/loic.files-community.Files?preview=1#show-readme-container)",11561
img,"[Unity-Technologies/ml-agents](https://www.github.com/Unity-Technologies/ml-agents#readme)","[Preview](https://dev.nugettest.org/packages/loic.Unity-Technologies.ml-agents?preview=1#show-readme-container)",11411
img,"[jellyfin/jellyfin](https://www.github.com/jellyfin/jellyfin#readme)","[Preview](https://dev.nugettest.org/packages/loic.jellyfin.jellyfin?preview=1#show-readme-container)",11319
img,"[huiyadanli/RevokeMsgPatcher](https://www.github.com/huiyadanli/RevokeMsgPatcher#readme)","[Preview](https://dev.nugettest.org/packages/loic.huiyadanli.RevokeMsgPatcher?preview=1#show-readme-container)",10640
img,"[mono/mono](https://www.github.com/mono/mono#readme)","[Preview](https://dev.nugettest.org/packages/loic.mono.mono?preview=1#show-readme-container)",9399
