GitHubProject,NuGetPreview,Stars,Scheme,Link
"[PowerShell/PowerShell](https://www.github.com/PowerShell/PowerShell#readme)","[Preview](https://dev.nugettest.org/packages/loic.PowerShell.PowerShell?preview=1#show-readme-container)",27894,mailto,mailto:REDACTED
"[NancyFx/Nancy](https://www.github.com/NancyFx/Nancy#readme)","[Preview](https://dev.nugettest.org/packages/loic.NancyFx.Nancy?preview=1#show-readme-container)",7140,mailto,mailto:REDACTED
"[HangfireIO/Hangfire](https://www.github.com/HangfireIO/Hangfire#readme)","[Preview](https://dev.nugettest.org/packages/loic.HangfireIO.Hangfire?preview=1#show-readme-container)",6836,mailto,mailto:REDACTED
"[microsoft/ailab](https://www.github.com/microsoft/ailab#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.ailab?preview=1#show-readme-container)",6651,mailto,mailto:REDACTED
"[microsoft/FASTER](https://www.github.com/microsoft/FASTER#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.FASTER?preview=1#show-readme-container)",4618,mailto,mailto:REDACTED
"[microsoft/MixedRealityToolkit-Unity](https://www.github.com/microsoft/MixedRealityToolkit-Unity#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.MixedRealityToolkit-Unity?preview=1#show-readme-container)",4609,mailto,mailto:REDACTED
"[microsoft/reverse-proxy](https://www.github.com/microsoft/reverse-proxy#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.reverse-proxy?preview=1#show-readme-container)",3596,mailto,mailto:REDACTED
"[protobuf-net/protobuf-net](https://www.github.com/protobuf-net/protobuf-net#readme)","[Preview](https://dev.nugettest.org/packages/loic.protobuf-net.protobuf-net?preview=1#show-readme-container)",3493,mailto,mailto:REDACTED
"[inkle/ink](https://www.github.com/inkle/ink#readme)","[Preview](https://dev.nugettest.org/packages/loic.inkle.ink?preview=1#show-readme-container)",2839,mailto,mailto:REDACTED
"[OfficeDev/Open-XML-SDK](https://www.github.com/OfficeDev/Open-XML-SDK#readme)","[Preview](https://dev.nugettest.org/packages/loic.OfficeDev.Open-XML-SDK?preview=1#show-readme-container)",2836,mailto,mailto:REDACTED
"[skoruba/IdentityServer4.Admin](https://www.github.com/skoruba/IdentityServer4.Admin#readme)","[Preview](https://dev.nugettest.org/packages/loic.skoruba.IdentityServer4.Admin?preview=1#show-readme-container)",2817,mailto,mailto:REDACTED
"[KeenSoftwareHouse/SpaceEngineers](https://www.github.com/KeenSoftwareHouse/SpaceEngineers#readme)","[Preview](https://dev.nugettest.org/packages/loic.KeenSoftwareHouse.SpaceEngineers?preview=1#show-readme-container)",2812,github-windows,github-windows://openrepo/https://github.com/KeenSoftwareHouse/SpaceEngineers
"[googlevr/gvr-unity-sdk](https://www.github.com/googlevr/gvr-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.googlevr.gvr-unity-sdk?preview=1#show-readme-container)",2692,file,file://developers.google.com/cardboard
"[googlevr/gvr-unity-sdk](https://www.github.com/googlevr/gvr-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.googlevr.gvr-unity-sdk?preview=1#show-readme-container)",2692,file,file://arvr.google.com/daydream/smartphonevr/
"[googlevr/gvr-unity-sdk](https://www.github.com/googlevr/gvr-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.googlevr.gvr-unity-sdk?preview=1#show-readme-container)",2692,file,file://developers.google.com/vr/distribute/daydream/
