GitHubProject,NuGetPreview,Stars
"[dotnet/reactive](https://www.github.com/dotnet/reactive#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.reactive?preview=1#show-readme-container)",5033
"[Live-Charts/Live-Charts](https://www.github.com/Live-Charts/Live-Charts#readme)","[Preview](https://dev.nugettest.org/packages/loic.Live-Charts.Live-Charts?preview=1#show-readme-container)",4931
"[randyrants/sharpkeys](https://www.github.com/randyrants/sharpkeys#readme)","[Preview](https://dev.nugettest.org/packages/loic.randyrants.sharpkeys?preview=1#show-readme-container)",4053
"[SteamTools-Team/SteamTools](https://www.github.com/SteamTools-Team/SteamTools#readme)","[Preview](https://dev.nugettest.org/packages/loic.SteamTools-Team.SteamTools?preview=1#show-readme-container)",3196
"[morelinq/MoreLINQ](https://www.github.com/morelinq/MoreLINQ#readme)","[Preview](https://dev.nugettest.org/packages/loic.morelinq.MoreLINQ?preview=1#show-readme-container)",2683
"[hanmin0822/MisakaTranslator](https://www.github.com/hanmin0822/MisakaTranslator#readme)","[Preview](https://dev.nugettest.org/packages/loic.hanmin0822.MisakaTranslator?preview=1#show-readme-container)",1793
"[ModernFlyouts-Community/ModernFlyouts](https://www.github.com/ModernFlyouts-Community/ModernFlyouts#readme)","[Preview](https://dev.nugettest.org/packages/loic.ModernFlyouts-Community.ModernFlyouts?preview=1#show-readme-container)",1678
"[leiurayer/downkyi](https://www.github.com/leiurayer/downkyi#readme)","[Preview](https://dev.nugettest.org/packages/loic.leiurayer.downkyi?preview=1#show-readme-container)",1530
"[SlightlyMad/VolumetricLights](https://www.github.com/SlightlyMad/VolumetricLights#readme)","[Preview](https://dev.nugettest.org/packages/loic.SlightlyMad.VolumetricLights?preview=1#show-readme-container)",1517
"[Accelerider/Accelerider.Windows](https://www.github.com/Accelerider/Accelerider.Windows#readme)","[Preview](https://dev.nugettest.org/packages/loic.Accelerider.Accelerider.Windows?preview=1#show-readme-container)",1385
"[TASVideos/BizHawk](https://www.github.com/TASVideos/BizHawk#readme)","[Preview](https://dev.nugettest.org/packages/loic.TASVideos.BizHawk?preview=1#show-readme-container)",1209
"[ardalis/ApiEndpoints](https://www.github.com/ardalis/ApiEndpoints#readme)","[Preview](https://dev.nugettest.org/packages/loic.ardalis.ApiEndpoints?preview=1#show-readme-container)",1204
"[vkhorikov/CSharpFunctionalExtensions](https://www.github.com/vkhorikov/CSharpFunctionalExtensions#readme)","[Preview](https://dev.nugettest.org/packages/loic.vkhorikov.CSharpFunctionalExtensions?preview=1#show-readme-container)",1198
"[JavScraper/Emby.Plugins.JavScraper](https://www.github.com/JavScraper/Emby.Plugins.JavScraper#readme)","[Preview](https://dev.nugettest.org/packages/loic.JavScraper.Emby.Plugins.JavScraper?preview=1#show-readme-container)",1163
