GitHubProject,NuGetPreview,Stars
"[microsoft/PowerToys](https://www.github.com/microsoft/PowerToys#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.PowerToys?preview=1#show-readme-container)",57582
"[PowerShell/PowerShell](https://www.github.com/PowerShell/PowerShell#readme)","[Preview](https://dev.nugettest.org/packages/loic.PowerShell.PowerShell?preview=1#show-readme-container)",27894
"[dotnet-architecture/eShopOnContainers](https://www.github.com/dotnet-architecture/eShopOnContainers#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet-architecture.eShopOnContainers?preview=1#show-readme-container)",18232
"[dotnet/roslyn](https://www.github.com/dotnet/roslyn#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.roslyn?preview=1#show-readme-container)",14697
"[DapperLib/Dapper](https://www.github.com/DapperLib/Dapper#readme)","[Preview](https://dev.nugettest.org/packages/loic.DapperLib.Dapper?preview=1#show-readme-container)",13946
"[Unity-Technologies/ml-agents](https://www.github.com/Unity-Technologies/ml-agents#readme)","[Preview](https://dev.nugettest.org/packages/loic.Unity-Technologies.ml-agents?preview=1#show-readme-container)",11411
"[dotnet/maui](https://www.github.com/dotnet/maui#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.maui?preview=1#show-readme-container)",10751
"[aspnetboilerplate/aspnetboilerplate](https://www.github.com/aspnetboilerplate/aspnetboilerplate#readme)","[Preview](https://dev.nugettest.org/packages/loic.aspnetboilerplate.aspnetboilerplate?preview=1#show-readme-container)",9716
"[App-vNext/Polly](https://www.github.com/App-vNext/Polly#readme)","[Preview](https://dev.nugettest.org/packages/loic.App-vNext.Polly?preview=1#show-readme-container)",9444
"[lionsoul2014/ip2region](https://www.github.com/lionsoul2014/ip2region#readme)","[Preview](https://dev.nugettest.org/packages/loic.lionsoul2014.ip2region?preview=1#show-readme-container)",9435
"[mono/mono](https://www.github.com/mono/mono#readme)","[Preview](https://dev.nugettest.org/packages/loic.mono.mono?preview=1#show-readme-container)",9399
"[cefsharp/CefSharp](https://www.github.com/cefsharp/CefSharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.cefsharp.CefSharp?preview=1#show-readme-container)",8113
"[restsharp/RestSharp](https://www.github.com/restsharp/RestSharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.restsharp.RestSharp?preview=1#show-readme-container)",7950
"[MonoGame/MonoGame](https://www.github.com/MonoGame/MonoGame#readme)","[Preview](https://dev.nugettest.org/packages/loic.MonoGame.MonoGame?preview=1#show-readme-container)",7634
"[chocolatey/choco](https://www.github.com/chocolatey/choco#readme)","[Preview](https://dev.nugettest.org/packages/loic.chocolatey.choco?preview=1#show-readme-container)",7589
"[dotnet/machinelearning](https://www.github.com/dotnet/machinelearning#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.machinelearning?preview=1#show-readme-container)",7585
"[ppy/osu](https://www.github.com/ppy/osu#readme)","[Preview](https://dev.nugettest.org/packages/loic.ppy.osu?preview=1#show-readme-container)",7541
"[NancyFx/Nancy](https://www.github.com/NancyFx/Nancy#readme)","[Preview](https://dev.nugettest.org/packages/loic.NancyFx.Nancy?preview=1#show-readme-container)",7140
"[JeffreySu/WeiXinMPSDK](https://www.github.com/JeffreySu/WeiXinMPSDK#readme)","[Preview](https://dev.nugettest.org/packages/loic.JeffreySu.WeiXinMPSDK?preview=1#show-readme-container)",6897
